Выборы депутатов Законодательного Собрания Санкт-Петербурга шестого созыва;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дата голосования: 18.09.2016;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Наименование Избирательной комиссии:    Санкт-Петербургская избирательная комиссия;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сводная таблица результатов выборов по единому округу;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Сумма;ОИК №1;ОИК №2;ОИК №3;ОИК №4;ОИК №5;ОИК №6;ОИК №7;ОИК №8;ОИК №9;ОИК №10;ОИК №11;ОИК №12;ОИК №13;ОИК №14;ОИК №15;ОИК №16;ОИК №17;ОИК №18;ОИК №19;ОИК №20;ОИК №21;ОИК №22;ОИК №23;ОИК №24;ОИК №25
1;Число избирателей, внесенных в список избирателей на момент окончания голосования;3819090;131977;135920;134928;150215;167665;137957;171645;145720;177117;159178;146237;162706;162524;134362;154285;159796;157904;150399;162034;139382;145920;161523;178538;151594;139564
2;Число избирательных бюллетеней, полученных участковой избирательной комиссией;3335604;110000;119100;115500;127650;147100;123000;148500;123500;158600;138148;128000;145450;143600;118000;136550;136500;140500;130200;142776;114200;122800;143500;157900;139530;125000
3;Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования;1212563;38586;41827;48577;49568;58542;49213;55177;48204;55677;55412;45978;49167;49843;42482;44521;46318;49376;47671;57703;40712;44515;46172;50352;51945;45025
4;Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;25355;1877;1809;1292;738;1122;963;1461;601;908;2091;458;770;378;710;813;749;553;752;1682;630;820;540;1114;1665;859
5;Число погашенных избирательных бюллетеней;2097547;69537;75464;65628;77344;87419;72745;91843;74695;102015;80629;81564;95513;93377;74808;91216;89430;90571;81777;83391;72858;77465;96788;106434;85920;79116
6;Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования;25290;1874;1803;1291;737;1119;952;1461;601;900;2090;458;770;378;710;803;749;547;751;1675;626;820;540;1114;1662;859
7;Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования;1205578;38297;41397;48303;49244;58319;49026;54982;48010;55036;55282;45812;48939;49675;42025;44266;46190;49064;47390;56932;40610;44300;45646;50112;51753;44968
8;Число недействительных избирательных бюллетеней;32135;1216;1296;739;1483;1592;1104;1655;1338;1374;1558;1228;1233;1238;1116;1325;1162;1231;1202;2078;1189;1255;943;1134;1108;1338
9;Число действительных избирательных бюллетеней;1198733;38955;41904;48855;48498;57846;48874;54788;47273;54562;55814;45042;48476;48815;41619;43744;45777;48380;46939;56529;40047;43865;45243;50092;52307;44489
10;Число открепительных удостоверений, полученных участковой избирательной комиссией;67059;2280;2800;2364;2554;2926;2895;2445;2330;2630;3296;3166;2754;3023;2595;2715;2570;2110;2600;3175;2320;2610;2780;2510;3131;2480
11;Число открепительных удостоверений, выданных участковой избирательной комиссией избирателям;33540;1228;1246;1183;1395;1342;1252;1608;1461;1725;1749;1114;1384;1426;1112;1293;1290;1192;1537;1737;1029;1143;1045;1308;1802;939
12;Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке;26359;1331;1992;1890;1347;1374;569;1140;1821;827;1497;783;1021;1580;512;945;787;566;846;1251;596;569;412;666;1439;598
13;Число погашенных на избирательном участке открепительных удостоверений;33519;1052;1554;1181;1159;1584;1643;837;869;905;1547;2052;1370;1597;1483;1422;1280;918;1063;1438;1291;1467;1735;1202;1329;1541
14;Число открепительных удостоверений, выданных территориальной комиссией избирателям;5653;226;137;245;200;270;286;261;155;174;457;156;588;312;269;172;142;146;175;235;138;146;132;206;253;172
15;Число утраченных открепительных удостоверений;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Число утраченных избирательных бюллетеней;139;0;0;3;0;17;79;19;0;0;16;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0
17;Число избирательных бюллетеней, не учтенных при получении;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Число голосов избирателей, поданных за каждый список;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1.Санкт-Петербургское региональное отделение Партии «ЕДИНАЯ РОССИЯ»;507770;14996;16440;30666;18043;22896;23511;26864;20190;24791;24491;19343;16837;18773;15609;16581;18004;21113;20733;25789;14731;18199;16679;21046;22317;19128
;;41.25%;37.33%;38.06%;61.83%;36.10%;38.52%;47.04%;47.59%;41.53%;44.32%;42.69%;41.80%;33.87%;37.51%;36.53%;36.79%;38.36%;42.56%;43.07%;44.00%;35.72%;40.33%;36.11%;41.08%;41.78%;41.74%
19;2.Санкт-Петербургское региональное отделение Политической партии «ПАРТИЯ РОСТА»;131957;4333;4716;3274;6483;6577;3955;4956;4704;5035;6045;4628;5393;5460;4497;6560;5433;4736;4430;5730;4989;5813;6223;6871;5111;6005
;;10.72%;10.79%;10.92%;6.60%;12.97%;11.07%;7.91%;8.78%;9.68%;9.00%;10.54%;10.00%;10.85%;10.91%;10.52%;14.56%;11.57%;9.55%;9.20%;9.78%;12.10%;12.88%;13.47%;13.41%;9.57%;13.10%
20;3.Санкт-Петербургское региональное отделение ЛДПР;152662;5478;4508;3105;5100;6426;4701;5781;5935;6669;8110;5755;6625;5730;5106;5849;5991;7029;5674;8218;4805;4666;8513;7207;8350;7331
;;12.40%;13.64%;10.44%;6.26%;10.20%;10.81%;9.41%;10.24%;12.21%;11.92%;14.14%;12.44%;13.33%;11.45%;11.95%;12.98%;12.76%;14.17%;11.79%;14.02%;11.65%;10.34%;18.43%;14.07%;15.63%;15.99%
21;4.Региональное отделение Партии СПРАВЕДЛИВАЯ РОССИЯ в Санкт-Петербурге;112014;2594;2866;1920;5309;5171;4953;5229;5156;4900;4907;3830;6656;5847;5611;3729;5706;4420;5533;4254;4194;3685;3650;4110;4341;3443
;;9.10%;6.46%;6.63%;3.87%;10.62%;8.70%;9.91%;9.26%;10.61%;8.76%;8.55%;8.28%;13.39%;11.68%;13.13%;8.27%;12.16%;8.91%;11.49%;7.26%;10.17%;8.17%;7.90%;8.02%;8.13%;7.51%
22;5.Санкт-Петербургское региональное отделение Партии «ЯБЛОКО»;120242;5797;7283;5247;6628;7719;5398;5012;4495;5085;4311;4437;5429;5266;4189;4390;4169;4590;3611;3418;5161;5085;3407;3829;3851;2435
;;9.77%;14.43%;16.86%;10.58%;13.26%;12.99%;10.80%;8.88%;9.25%;9.09%;7.51%;9.59%;10.92%;10.52%;9.80%;9.74%;8.88%;9.25%;7.50%;5.83%;12.52%;11.27%;7.38%;7.47%;7.21%;5.31%
23;6.КПРФ САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ;138538;4287;4564;3569;5273;7078;4915;5365;5406;6256;6446;5600;5848;6063;5155;5196;5072;5270;5721;7786;4798;5220;5689;5675;7089;5197
;;11.26%;10.67%;10.56%;7.20%;10.55%;11.91%;9.83%;9.51%;11.12%;11.18%;11.24%;12.10%;11.76%;12.11%;12.06%;11.53%;10.81%;10.62%;11.88%;13.29%;11.64%;11.57%;12.32%;11.08%;13.27%;11.34%
24;7.ПАРНАС в Санкт-Петербурге;25939;1133;1157;809;1248;1535;1123;1176;924;1259;1075;1120;1313;1279;1063;1010;950;854;844;920;963;979;769;994;775;667
;;2.11%;2.82%;2.68%;1.63%;2.50%;2.58%;2.25%;2.08%;1.90%;2.25%;1.87%;2.42%;2.64%;2.56%;2.49%;2.24%;2.02%;1.72%;1.75%;1.57%;2.34%;2.17%;1.67%;1.94%;1.45%;1.46%
25;9.Санкт-Петербургское отделение «Российский Объединенный Трудовой Фронт»;9611;337;370;265;414;444;318;405;463;567;429;329;375;397;389;429;452;368;393;414;406;218;313;360;473;283
;;0.78%;0.84%;0.86%;0.53%;0.83%;0.75%;0.64%;0.72%;0.95%;1.01%;0.75%;0.71%;0.75%;0.79%;0.91%;0.95%;0.96%;0.74%;0.82%;0.71%;0.98%;0.48%;0.68%;0.70%;0.89%;0.62%
;;Сумма;ОИК №1;ОИК №2;ОИК №3;ОИК №4;ОИК №5;ОИК №6;ОИК №7;ОИК №8;ОИК №9;ОИК №10;ОИК №11;ОИК №12;ОИК №13;ОИК №14;ОИК №15;ОИК №16;ОИК №17;ОИК №18;ОИК №19;ОИК №20;ОИК №21;ОИК №22;ОИК №23;ОИК №24;ОИК №25
д;Число открепительных удостоверений, полученных окружной избирательной комиссией;88000;3500;3500;3500;3500;3500;3500;3500;3500;3500;4000;3500;3500;3500;3500;3500;3500;3494;3506;3500;3500;3500;3500;3500;3500;3500
е;Число открепительных удостоверений, выданных территориальным избирательным комиссиям;86800;2800;3500;3500;3500;3500;3500;3500;3500;3500;4000;3500;3500;3500;3500;3500;3500;3494;3506;3500;3000;3500;3500;3500;3500;3500
ж;Число неиспользованных открепительных удостоверений, погашенных окружной избирательной комиссией;1200;700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0
з;Число открепительных удостоверений, утраченных в окружной избирательной комиссии;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
